,0
166,그럼 그거부터 화장실부터 아무 생각 없이 말고 생각하면서
167,난 화장실 어두운 게 그렇게 싫더라 낮에도 불 켜야 되고
168,>욕조 물 받고 목욕하고 싶어 푹 몸 담그면서
169,>밤 새고 낮에 자는 일도 많으니까 침실은 너무 밝지 않게
170,>거실 창은 좀 넓었으면 좋겠어 시원하게
171,>문을 여닫이 말고 미닫이로 아빠가 힘들어 해
172,>테라스가 길게 거기다 테이블도 놓고 그럴 수 있게
173,>쉬는 날은 주로 해
174,> 책도 보고 청소도 하고
175,>창 좀 시원하게 활짝 열리게 빨래는 야외에 널 수 있게
176,>아빠가 정원 가꾸는 걸 좋아하니까 안방에서도 마당이 잘 보이게
177,호리젠틀한 요소로 파사드를 강조해 본 거야
178,이건 스페이스를 디바이드 해 본 건 리빙룸을 센터로 해서
179,결국  생각도 이게 정답인 거 같은
180,
181,마스터룸이 프라이빗해지면서 
182,왜 죄다 영어야 영어마을 짓니
183,가 그렇게 마음에 안드는
184,그냥 좀 낯설어 아빠집 같지가 않아 너무 딴 집 같애
185,새로 짓는 낯설지 그럼 친숙할까 도대체 취향을 모르겠네
186,아 진짜 가 맘에 안든다는 왜 자꾸 가르치려구 들어
187, 
188,그래두 너 오늘 옷은 예뻤어 옷은  어 이거다
189,어릴  여기서 키 재고 그랬었거든  참 작았다
190,이거 타고 올라가서 옥상에서 혼자 소꿉놀이 하고
191,그런 거 있잖아 비밀장소 그런 거 다락방 같은 거
192,
193,나 진짜 죽을 뻔 했었대 그 아빠가 막 나 들쳐 업고 뛰고
194,이거 우리 아빠가 직접 만든 거다
195,굳기 전에 가 밟아서 나 4살 던가 엄청 울었는
196,무슨 4살  기억이 나 천재야
197,기억 나 여기서 아빠가 나 세수 시켜주고 그랬던 거
198,
199,여름에 비 올   마루에 누워 있으면 쾌쾌한 냄새 나무 바닥 냄새
200,
201,그런 거 다 기억 나 
202, 나 많이 컸지
203,>어 언제 왔어
204,이거 우리집이야
205,생각해 봤는 증축을 하자
206,증축
207,이 집을 없애지 말고 적당히 털고 그 옆에 새로 또 적당하게 증축
208,글쎄 너무 낡지 않았어
209,집 멀쩡한 뭘 그리구 이거 아깝잖아
210,그럼 좀 싸지나
211,이게 원래 있는 집이고 이쪽이 증축하는 부분
212,
213,재료는 원래 집에 있는 벽돌 새로 지어지는 집은 나무
214, 가 아빠 등에 업혀 있는 거 같애
215,근 방이 겨우 2개야 너무 적지 않나
216,손님이라도 오면 사랑방 그런 거 있잖아
217,무슨 대감집이야 사랑방이 있게
218,그래서 트러블 생기는 거 아니야 괜히 사랑방 같은 거 있어서
219,트러블이래 교양하고는
220,그렇잖아 애궂게 애만 중간에 왔다갔다 애가 무슨 죄야
221,하긴 인어공주도 생각해 보면 그거 스토커잖아요
222,잠자는 공주는 왜 꼭 키스를 해줘야 깬대 변태야 애들 보는 건 야하게
223,너 왜 이렇게 뺀질뺀질해졌어 옛날엔 안 그랬잖아
224,어머 팀장님 옛날엔 어땠는요
225,흉했지 엄청 흉했지 여자들한테 인기도 없었고 
226,그건 지금도 그래요 
227,둘이 사겨 콤비야
228,근 처음에 두 분 서로 어떻게 알게 됐어요
229,그찮아요 과도 다르고 가 겹치는 게 없는 소개팅이라도 했나
230,  너 얘기 안했어 그게 얘가 나를 하도 쫓아와서
231,이건 또 무슨 창의적인 소릴까
232,에이  어 이제와서 괜찮아 고백해 사람이 솔직해야지
233,뭔 소리야 숙제 도와달라고 니가 먼저 따라왔잖아 막
234,얼씨구
235, 모르겠는요
236, 강북은 잘 몰라서
237, 정조   정종
238,형 밥 사주세요 밥
239,넌 가 식권으로 보이니 맨날 나만 보면 밥을 사달래
240,>저 오빠 저 갈께요
241,어 아 들을 만 해 어렵진 않아
242,아뇨   그냥
243,힘들면 얘기해 밥 사줄께
244,네   갈께요
245,누구예요
246,방송반 후배 음댄
247,음대가 왜 건축과 수업을 들어
248,개론 수업은 원래 타 과생들도 많이 들어 그래서 물이 좋잖아
249,아 그래서 굳이 일부러 한 번 더 들으시는
250,>넙죽아
251,   아는 애야
252,어 아니 아니
253,  공부는 잘 돼
254,재수하는 도 서러운 공부까지 열심히 해야 되냐 넌 애인은 생겼어
255,무슨 애인이야
256, 안되네  대학생이 연애를 안 하면 뭘 해 그럼
257,누구야 아는 애야
258,다 큰 애한테 애가 야 니 형수님이시다 형수님
259, 고삐리잖아
260,그럼 재수생이 고삐리를 사귀지 누굴 사궈 중삐릴 사귈까
261,헤어가 이게 니 대학생이 이 열라 납뜩 안되는 새끼야
262,이게 뭔
263,일단 흔들고 빗에다 푸욱 해서
264,  어이쿠 벌써 시간이
265,저 알죠
266, 예 
267,건축학 개론 같이 듣지 않아요 
268,  
269,그날 버스도 같이 타고 왔는
270,아~ 그랬어요
271,여기서 오래 살았어요
272, 태어나서 계속
273,와 그럼 동네 잘 알겠다
274,예 
275,난 이사 온지 얼마 안돼서 하나두 모르는
276,여긴 무슨 집이에요
277,아 여기 아무도 안 살아요 빈 집이에요
278,왜요
279,  예 왜냐면 그러니까 그러게 왤까요
280,들어가 볼래요
281,   왜요
282,그냥 집 어떻게 생겼나 궁금하기도 하고
283,남의 집인 어떻게 함부로 에이 그리고 잠겼을 거예요
284,   남의 집인 허락도 없이 막
285, 어 죽은 거 살려준 건
286, 잠깐만요
287,1학년이죠
288, 예
289,나두 1학년인
290,근 음대가 건축학개론은 왜 들어요
291,왜 들으면 안돼
292, 아니 그런 건 아니고
293,어 근 나 음댄지 어떻게 알았어
294,  아 이형 한테 들었어요
295,아~  오빠
296,  예 이형한테 살짝 얼핏
297,음 가 생각을 한번 해봤는
298,
299,우리 이렇게 하자 난 건축과도 아니고 이 동네도 잘 모르고
300, 예 그게 가 공평하다는 건지 전 잘
301,근 왜 말 안 놔 동갑인
302, 먼저 노세요
303,나 아까부터 놨잖아 말 논 거 안보여
304,  
305,너두 말 놔
306, 네 알았어요
307,그러니깐 노라니깐
308,알았다구요 노면 되잖아요
309,그거 오늘 입어야 되는
310,개포동까지 42개
311, 개포동 그거 미사일 이름 아닌가
312,이상해 저렇게 집들이 많은 저 중에  집이 하나 없다는 게
313,어른 되면 저거 하나 사려구 평생 돈 모은 다잖아
314,서울은 정말 복잡하구나 사람도 너무 많고
315,넌 고향이 어디야
316,글쎄 어디라고 해야 될까 초등학교 까진 춘천 살다가
317, 그럼 부모님은
318,우리 아빠는 지금 어딨는지 몰라
319,   
320,어쩌면 한 대서양쯤
321, 
322,  우리 아빠는 배 타 유조선 선장 마도로스
323,엄만 돌아가셨어 여긴 친척집에 잠깐 있는 거야
324, 어 미안
325,
326,이번에 아빠 들어오면 독립시켜 달라고 그래야지
327,그지 괜히 할 말 없으니깐 그러는 거야
328,근 이거 누구 노래야
329,이거 전람회를 모른단 말이야 기억의 습작
330,아 들어본 거 같애
331,좋지 가 제일 좋아해
332,4미터라니깐
333,그니까 그게 어느 정도냐구 상상이 안 돼
334, 한 이정도
335,음 이왕 높이는 거 더 높으면 안되나
336,높다고 다 좋은 게 아니야 냉난방 골치 아파져
337,어 근 잠깐 이거 야 
338,주방이 아일랜드식으로 원래 있던 집 외벽이 새로 생기는 주방 벽으로
339,바로 여기 주방이 되고 이쪽으로 새로 거실 벽이 생기고
340,그럼 거기에 책장을 짤까 벽 전체를 꽉 채워서 그럼 예쁠 거 같은
341,책이 그렇게 많어
342,아니  이제부터라도 좀 읽어볼까 해서
343,먼저 좀 읽구 응
344,어 근 잠깐 이건 또 야 
345,거실창이잖아 여기서 그대로 테라스랑 마당으로 이어지게
346,  아
347,날씨 좋은날 활짝 열어놓고 테라스에서 커피도 마시고 음악도 듣고
348,읽을 거야 열라 많이 읽을 거야
349,그럼 이제라도 읽으면 돼지 책도 막 열심히 읽고 독후감도 열라 쓰고
350,잘 한 거 같애 살면서 자기 집을 지어본다는 게 얼마나 대단한 일이야
351,이제 두 달정도면
352,어 근 잠깐
353,  
354,이건 야 
355, 화단
356, 
357,테라스 바로 앞에 조그만 화단 책 읽으면서 꽃도 보고 그러라고
358,
359,너 꽃 키우는 거 좋아하잖아
360, 그런 걸 다 기억하네
361,어 미안 자고 있었어 미안 미안
362,오늘 저녁에 약속 있어  공사도 시작했는 너랑 술 한 잔 할까 해서
363,그래 그러자 배 고프다 
364, 응
365,있긴 가 있어 
366,  가 같이 오자고 그랬어 도 수고했잖아
367,  저 껴도 되죠
368,에이 그럼 
369,너랑 그 동네에서 놀 가 엊그제 같은
370,그니까 니가 복 받은 거지
371,근 넌 연애 안해
372,  
373,가 후배 소개 시켜줄까 말해봐 너 어떤 애 좋아하는
374,예쁘고 착한 애
375,  그런 귀한 애가 널 좋아하겠니
376,하튼 보면 둘이 잘 맞어 보면 
377,어디가
378,화장실 화장실
379, 저 결혼해요
380,  어머 정말 언제
381,아마 연말쯤 늦어도 연초에는
382,축하해 근 왜 지금까지 아무 말도 없었어
383,얼마 전에 결정 났어요 결혼하고 곧장 미국 가기로
384,미국 어디
385,뉴욕이요 가서 저는 공부하고 오빠는 취업하기로 운이 좋았어요
386,야 잘됐네 그 남자 땡잡았다 이렇게 예쁜 씨를 
387,  그죠
388,가 이렇게 신났어
389,아니 글쎄 씨가
390,  팀장님 얘기 했어요
391,나 
392,  땡 잡았다고
393,그게 저에요 예쁘고 착한 애  막 이래
394,아 그랬구나 야 전혀 몰랐어 왜 진작 얘길 안했어
395,회사에도 비밀이에요 아무도 몰라요
396,
397,그래두 언니는 아셔야 될 거 같아서
398,잘됐다 둘이 어울려 에이 응큼한 놈 이렇게 예쁜 여자 친구를 두고
399,근요 오빠 옛날에 첫사랑 있었다던 그거 누군지 아세요
400,  그게 누구야 가 아는 애야
401,됐어
402,궁금하잖아 누군
403,얘기 좀 해봐 쌍년이었다며
404,어머 그거 에요
405,아 이거 속초에서 사온 건
406,제건 없어요
407,둘이 나눠 먹어
408,  그럴까 우리 반반 나눌까
409,그러니까 원룸인 거잖아
410,
411,달랑 방 하나에서 먹고 자고 그렇게 어떻게 사냐 그래두 신혼인
412,그 얘기 끝났잖아
413,우리 이모가 그러는 이스트빌리지 쪽이 살기 좋다고 거기가 학교도 가깝고
414,알면서 왜 그래 형편이 그렇잖아 첨엔 좀 힘들더라도
415,그래서 우리 아빠가 도와준다잖아
416,예민하게 굴 일 아니잖아 한번 생각해 보는 게 그렇게 힘들어
417,  다 지난 얘기해 해
418,
419,그 집 담보로 대출 받았지 요번에 등기 떼보니까 딱 그거더라
420,그래두 그렇지 빚까지 져가면서 나한테 하러 그렇게 비싼 를 얻어줬어
421,하여튼 참 집에 한이 많어 우리 아빠는
422,사촌동생>공부를 할 수가 없잖아 공부를
423,이모>쉿 듣겠다
424,사촌동생>들으라고 그래  친구 중에 자기 방 없는 애가 있는 줄 알아
425,이모>알았어 알았어 쫌만 기다려 쫌만
426,사촌동생언니 나 자야 되는
427,어 알았어
428,형 부럽다 이런서 설계하면 아이디어 팍팍 나올 꺼 같애
429,새로 사신 거예요
430,  펜티엄에 하드 일기가
431,일기가 요
432,  천메가 천메가
433,  천메가 와 천메가면 평생을 써도 다 못 쓰겠다
434,> 형 이거 야
435,그러니까 별거 없어 여자는 일단 술을 먹여서 취하게 만들어
436,그리구요
437,뭘 그리구야 취했잖아 그럼 업어 그리고 침대에 뉘여 끝
438,그럼 저 스타킹두 그렇게
439,아우 밥이나 쳐드세요 그렇게 사달라며
440,형 써클 재밌어요
441,  왜
442,그냥 궁금해서요
443,이 알지 도 방송반이잖아
444, 누구요
445,그 인사했잖아 방송반 후배
446,  아 ~ 음대  괜찮던
447,  가 예뻐 난 모르겠던
448,아직 화장도 안하고 좀 촌스럽지만 그런 애들이 2학년 되면 확 예뻐진다고
449,그럼  써클에 남자친구도 있겠네요
450,스타킹  꺼구나
451,  야
452,   왜
453,   단무지 좀 아껴 먹어 새끼야 혼자 다
454,오늘 열쇠를 안 가지고 나가서
455,>어 아
456,아니 근 무슨 남자애가 순대국도 못 먹어
457, 아니 냄새가 좀
458,하튼 서울 촌놈
459,짠~
460,가 주말에 와서 다 치웠어 쓸고 걸레질 다하고 이제 여기  집이야
461,여기다 꽃을 심었거든
462,가을에도 꽃을 심어 무슨 꽃인
463,궁금하지 안가르쳐줘 
464,참 얼마 전에 이형 작업실 갔었는
465,근
466,강남 오피스텔인 되게 좋더라 컴퓨터도 있고  넌 안 가봤어
467,얘기만 들었어 좋다구
468, 이형이 그러던 너 써클에서 인기 많다며
469,  당연하지
470,   그러면 남자 친구 있겠네
471,없어 그딴 거
472,  그동안 했냐 남자 친구두 없구
473,넌  있어
474,나야  
475,지두 없으면서 무슨 인기야 이오빠가 폭발이지
476,그럼 너도
477, 
478, 너도 이형 좋아해
479,
480, 혹시 그래서 개론 수업 듣는
481,  몰라
482,  너 어디 가서 얘기하면 안돼 너만 알고 있어 알았지 알았지
483, 
484,이 오빠 나한테 관심도 없고 그냥 나 혼자 삽질하는 거지 
485,  이형 가 그렇게 좋은
486,  잘 생겼지 키 크지 집도 부자지
487,
488,게다가 건축과잖아 가 옛날부터 건축하는 사람에 대한 판타지가 있거든
489, 나두 건축관
490,   그렇지
491, 그냥 그렇다고 
492,   
493,그냥 열쇠 집 불러서 열지
494,알았어 그만 해
495,이 새끼가 대학가서 술만 배웠나
496,니 여자 친군 잘 있냐
497,아 싱숭이 잘 있지
498,싱숭이 그게 이름이야
499,독서실에 예쁜애가 둘 있는 보고 있으면 싱숭생숭 해진다고 해서 싱숭이 생숭이 아 그래 너 생숭이랑 소개팅 할래
500,됐어 무슨 고삐리를
501,생숭인 중3인 
502,야 저기 가 아는 애가 있는
503,여자
504,아니 남자 근 가 어떤 여자애랑 어떻게어떻게 하다가
505,잤어
506,아니 친해졌어
507,
508,근 네 둘이 진짜루 금방 친해졌거든
509,근
510,그럼 그 여자애는 그 남자애랑 왜 친해진 걸까
511,그게 뭔 소리야
512,그러니까 어떤 여자애랑 남자애가 있는 전혀 모르는 사이였거든 근
513,근 그게 너지
514,아니야 그냥 가 아는 앤 우리 과에
515,좆까 병신새끼야 좀 그럴싸하게 야부릴 치던가 누구야 그 여자애
516, 임자두 있다며
517, 혼자 짝사랑하는 거라니깐
518,니 선배라며 강남 살고 차도 있고
519,
520,그냥 잊어 새끼야 원래 첫사랑은 잘 안되라고 있는 거야
521,
522,야 쫌만 기다려 년에 가 대학가서 넌 확실히 책임질께
523, 근 나 여기서 그냥 포기하면
524,
525,평생 후회할 거 같아
526,윤 윤  이름 괜찮네 획수도 괜찮고
527,
528,일단 소주 한 병을 사 그리고 네 집 앞에 가는 거야
529,그냥 끊어
530,그냥 끊어 그럼 사람이 궁금하게 돼있어 갑자기 왜 이러면서 나오게 돼있어
531,딱 다가가
532,딱 다가가 그럼 가 첨엔 무서우니까  뒤로 슬슬 물러난다고
533,아무 말도 않고 그냥 가
534,
535,터프하게 절대 뒤 돌아보면 안돼 뒷모습이 컨셉이야
536, 아무 말도 하지마 그냥 그게 끝이야
537,왜 너무 함축적이야 오케이 그럼 딱 한마디만 해
538,라고
539,널 갖고 싶어 딱 그래
540,
541,아니면 더 세게 도발적으로  아이를 낳아줘 딱 그래
542,  가 지금 어떻게 애를 키워
543,이 븅신 누가 진짜 나래 말을 그렇게 하라는 거지
544,고맙다 납뜩아 너밖에 없다
545,  이 새끼 여자도 좋아할 줄 알고 이제 남자 다 됐네 다 컸어
546,이  열라 귀엽거든 졸라 귀엽거든  아
547,조용히 해 새끼야 쪽 팔리게
548,이게 4미터 어
549,근 거실이 왜 이렇게 작아 보이지 안그래
550,이천백에 천오백 시스템으로 달릴 거고
551, 음
552,창 크기를 더 높이면 어떨까 천정 끝까지 다
553,더 려 봐 더
554,더 더 거기 그쯤이 될 거야
555,밝은 도 좋지만 종일 직광이 들어오면 그도 불편하다고
556,
557,아침엔 해가 저기서 시작해서 지금 1시엔 여기쯤 그리고 해질 쯤 저쪽으로
558,근 궁금한 게 있어
559, 
560,지금 방 하나 더 만들 순 없는 거야
561,  응 없어
562,아무리 생각해도 방 2개는 지금 어떻게 안될까
563,아 더워 
564,창문도 생각보다 너무 작아 보이고 안방도 생각보다 작은 거 같고
565,그 아무리 생각 그걸 하지마 더운 굳이 왜 그래 힘들게
566,그래두 아무리 생각해도
567,아 진짜 덥다 오늘 이상하게 덥네 그지 왜 더울까
568,6학년 3반 5학년 8반 4학년 1반 3학년 아 몇 반이었지
569,지금 보니까 운동장 참 작다
570,오늘따라 든지 다 작아 보이는구나 너 요즘 키 크니
571,근 궁금한 게 있는
572,너 키 크는 거 맞구나 오늘따라 궁금한 도 많구
573,아 진짜 한마디를 안져 한마디를 어쩜 그렇게 필사적으로 구박일까
574, 알았어 뭔 가 또 궁금한
575,그 썅년이 나야
576, 
577,너 첫사랑 그 썅년이 나냐고
578, 아니야 너 아니야 너랑 나랑 가 있었다구 얘는
579,그렇지 나 아니지
580,
581,  그게 왜 나 같지 그 썅년이 이상하네
582,그게 왜 너같애 어처구니가 없네 하튼 진짜 웃긴 애야
583,아니면 됐어 그럼 됐지 
584,그럼 그 쌍년은 왜 썅년이었어
585,  그게 왜 왜 그게 왜 궁금한
586,그거 나 맞지
587,아니라니깐 아니라구 아니야
588,
589,그게 아니라 그게 왜 썅년이었나면 실은 썅년이 아니라 쌍년이야 쌍년
590,이거 어
591, 
592,그럼 이건
593, 
594,  그럼 도대체 
595,이거 이거로 화장실은 전부 다 쫙
596, 핑크로
597, 왜
598,전부 핑크로
599,  좀 그런가
600,핑크로 쫙 진짜 막 핑큰
601,좀 작은가 아닌가
602,왜 여기서 똥을 싸고 그래 사이즈 다 똑같애
603,그립감이란 게 있어 잘 알지도 못하면서
604,너 그랬어
605,안 그랬어
606,그 분명히 그랬어
607,그런 적 없다니깐
608,니가 분명히 첫 눈 올  만나자고 그랬어
609,말도 안돼 가 그런 유치한 얘길 했을 리가 없어
610,아 짜증나 녹음을 해 놨어야 되는 진짜
611,소파 집에 있잖아
612,이번에 바꾸려구 너무 작어 이리와 봐
613, 왜
614,와 봐 좀
615,앉아 봐야 제대로 알지 어  어울리는 거 같애
616, 가
617,소파
